순서,기업명(한국어),기업명(일본어),국가,업종,장르,MA접근,딜형태,분류,시총_억엔,매출_억엔,이익률(%),직원수,대표이사,자체IP,주요타이틀,기업특징,장점,단점리스크,주주구조,MA판단근거,소스,수정메모
13.0,건호온라인엔터테인먼트,ガンホー,일본,개발/운영,비서브,T,소수지분,,1594.0,932.0,5.4,,坂井一也,Y,パズル＆ドラゴンズ（パズドラ）、Ragnarok Origin、Ragnarokシリーズ（Gravity子会社）,パズドラで一世を風靡した老舗スマホゲーム会社。アクティビスト圧力を受け2026年2月に社長交代。坂井新社長のもとグローバル展開・コンソール・PCへの事業転換を宣言。,パズドラの長期安定IPと根強いユーザー基盤。Gravity社（ラグナロク）を通じた海外収益（売上の54%が海外）,3期連続の大幅減益（2025年12月期純利益87%減）。スマホゲーム市場縮小とパズドラ売上低迷,ソフトバンクグループが大株主。アクティビストのストラテジックキャピタルが株主提案,손씨 실효 22% 오너구조이나 주주제안 분쟁 중 경영 불안정. 단독 성장 한계 인식 시 협상 가능성 있음. 넥슨과 문화적 친화성 높아 통합 PMI 비용 상대적으로 낮음.,orig,[2025-2026 업데이트] 2026年2月に森下一喜社長が会長に退き、坂井一也CFOが社長CEOに就任。スマホからコンソール・PCへのグローバル展開に戦略転換宣言。
14.0,코에이테크모게임즈,コーエーテクモゲームス,일본,개발/운영,서브,N,,,6092.0,884.0,44.0,2531.0,鯉沼久史,Y,無双ORIGINS（100万本）、Wo Long: Fallen Dynasty、ユミア（最速30万本）、仁王シリーズ,無双・三国志・信長の野望等の歴史シミュレーション・アクションIPを保有。2025年3月期売上728億円。金融資産運用収益が本業利益を大幅に上回る独特の収益構造。,高利益率の運営維持と金融資産運用での安定キャッシュ創出。歴史IPの根強い海外ファン層,ゲーム売上は横ばい・微減傾向。新規IPや若年層への訴求力に課題。金融収益依存リスク,襟川恵子（会長）・陽一（社長）一族が筆頭株主として経営支配,코에테크모HD 100% 완전자회사. 창업자 일족이 56.74% 지배. 영업이익률 40%의 초우량사로 매각 인센티브 없음. IP 협업 파트너십 검토 가능.,orig,"[2025-2026 업데이트] 2025年3月期に『無双ORIGINS』が100万本・新作RPG『ユミア』が最速30万本を突破。営業利益5.7%増の270億円。
[정정] mk 6,092억엔(+23%), 매출 884억엔(+21%), 이익률 44%(as-of FY 기준). CEO 鯉沼久史 2025-04-01 취임 사실을 명확히 표기."
15.0,엑스노아 (DMM),EXNOA (DMM),일본,PF운영,서브,N,,,,724.0,,,토죠 히로시,N,"함대 컬렉션(칸코레), 도검란무, 그라나도에스파다, 블루아카이브(배급)",DMM.com 자회사(합동회사). DMM GAMES 플랫폼으로 PC·스마트폰 게임 배급·운영. 등록 유저 4500만 이상의 DMM 그룹 산하.,"DMM 플랫폼의 대규모 유저 기반, PC 브라우저 게임 강점, 자체 개발+외부 퍼블리싱 병행","성인 콘텐츠 이미지로 글로벌 전개 제약, 모바일 점유율 열세",DMM.com 100%,DMM.com 100% 합동회사 자회사. 성인콘텐츠 관련 레퓨테이션 리스크가 넥슨 브랜드와 상충. 배신 PF 활용 관점에서는 검토 가능.,orig,[2025-2026 업데이트] 2025년 10월 토죠 히로시 신 CEO 취임. PC 및 스마트폰 멀티 디바이스 전략과 해외 전개 강화 방침 지속.
16.0,부시로드,ブシロード,일본,개발/운영,서브,X,,,346.0,562.0,8.7,853.0,木谷高明,Y,BanG Dream! (バンドリ！)、Ave Mujica（TVアニメ）、カードファイト!! ヴァンガード、新日本プロレス,バンドリ！・ヴァンガード等の自社IPと新日本プロレスを保有するカードゲーム・アニメ・スポーツ複合企業。Ave Mujica・MyGO!!!!!のアニメ大ヒットが2025年6月期業績を牽引。,バンドリ！IPの海外（特に中華圏）での爆発的人気。TCGとライブ・アニメを連携させた独自のIPエコシステム,バンドリ！依存が依然高く次の柱となるIP創出が課題。TCG市場の競争激化,木谷高明（創業者・代表取締役社長）が筆頭株主,창업자 키타니 씨의 강한 독립경영 의지 + 프로레슬링·음악·TCG 독자 비즈니스모델 확립. 타사 M&A에 들어갈 인센티브 없음. 러브라이브! 등 IP 콜라보는 협의 가능.,orig,"[2025-2026 업데이트] 2025年6月期売上562億円・営業益48億円（前期比452%増）と大幅V字回復。Ave MujicaとMyGO!!!!!の合同ライブに2日間で3.8万人動員。
[정정] 시총 277→346억엔(+25%)로 갱신(기준일 필요)."
17.0,굿스마일컴퍼니,グッドスマイルカンパニー,일본,개발/운영/판매,비서브,X,,,,300.0,,500.0,아키 타카노리,Y,"넨도로이드 시리즈, 피그마 시리즈, Bang Dream! Girls Band Party 관련, Good Smile Racing(자동차 경기 팀)",넨도로이드·피그마 피규어 제조 세계 1위급. 2025년 미국 de minimis 규제 여파로 미국 출하 일시 정지.,"넨도로이드·피그마 세계 브랜드 파워, 2차원 IP 피규어화 전문성, 게임·이벤트까지 다각화","2025년 미국 de minimis 규제 영향 미국 출하 일시 정지, 생산 비용 상승",비공개(창업자 아키 타카노리 중심),피규어 업계에서의 확립된 지위와 강한 오너 독립성. 대규모 MMO 운영 인프라 부재. 게임 M&A 타깃으로는 부적합. 굿즈·피규어화 파트너십이 현실적 협업.,orig,[2025-2026 업데이트] 2025년 8월 미국 정부 de minimis 면제 정지 여파로 미국 출하 일시 정지. 글로벌 피규어 수요는 중화권·동남아 확대로 지속 성장.
18.0,퓨리,フリュー,일본,판매원,비서브,N,,,303.0,448.0,7.4,537.0,에노모토 마사히토,N,"프리쿠라 기기, 마기레코 관련 세카이칸 IP, 캐릭터 상품",프리쿠라 기기 및 캐릭터 IP 세카이칸 비즈니스 중심. FY2026 3월기 경상이익 40억엔(+21%) 전망으로 10기 연속 최고이익 목표.,"프리쿠라 시장 독점적 지위, 캐릭터 상품·게임·애니 크로스미디어 IP 전개, 안정적 수익","신규 사업 수익성 불안정, 프리쿠라 사업 국내 시장 성장 제약","KDDI그룹 자회사, 공개주(TSE:6238)",프리쿠라(프린트사진기)가 주사업으로 게임 사업은 부수적. 시총 291억엔이나 사업 구조상 게임 M&A 타깃으로는 비효율. 여성향 카주얼게임 퍼블리싱 협업 가능.,orig,"[2025-2026 업데이트] 2025년 6월 에노모토 마사히토 신임 사장 취임. FY2026 3월기 경상이익 40억엔 전망, 10기 연속 최고이익 예정.
[정정] 시총 447→약 303억엔(-32%)로 갱신(기준일 필요)."
19.0,펄어비스,Pearl Abyss,한국,개발/운영,비서브,N,,,2938.0,395.0,-4.0,733.0,허진영,Y,"Black Desert Online, Crimson Desert(출시: 2026-03-19), CCP Games(EVE Online 스튜디오, 2026-05 $120M 매각)","Black Desert·EVE Online 운영사. Crimson Desert 2025년 3월 글로벌 출시 6주 만에 500만장·179M달러 달성, 창사 이래 최대 분기 매출 기록.","독자 AAA IP 보유·자체 엔진 기술력, EVE Online 인수로 글로벌 서비스 다각화, 콘솔 확장력","Crimson Desert 장기 개발로 2024년 영업손실 전환, 대형 신작 출시 전까지 단일 IP 의존 리스크","정경인 대표 등 창업진·임원, 국민연금, 기관 분산",한국 동종 MMORPG 기업으로 경쟁 관계. 창업자계 38% 지분으로 독립 의지 강. 기술 협력·IP 교류 가능성은 있으나 M&A 관점 검토 불필요.,orig,"[2025-2026 업데이트] 2025년 3월 Crimson Desert 글로벌 출시, 6주 만에 매출 179M달러·500만장 돌파로 창사 이래 최대 분기 매출. 2026년 Q1 영업흑자 전환.
[정정] CEO: 정경인→허진영(2022-03). Crimson Desert 출시: 2026-03-19. CCP Games $120M 매각(2026-05) 반영."
20.0,마블러스,マーベラス,일본,개발/운영/판매,서브,T,소수지분,,333.0,280.0,6.5,750.0,照井慎一,Y,"Story of Seasons(牧場物語), Rune Factory: Guardians of Azuma(2025.5), Senran Kagura",Story of Seasons·Rune Factory 등 농경 RPG IP 보유 중형 게임사. 실적 부진으로 2025년 4월 CEO 교체. 신임 테루이 체제로 재건 중.,"Rune Factory·Story of Seasons 글로벌 팬덤 IP, 다양한 장르 콘솔 포트폴리오","대형 히트작 부재로 수익성 저하, CEO 교체 등 경영 불안정, 영업이익률 3% 미만","공개주(TSE:7844), 주요 기관투자자 분산","텐센트 20%+창업자계 30%의 복잡한 주주구조로 협상 고난도. 단, 시총 317억엔으로 규모 합리적. 음악·무대 사업 분리 조건 시 게임사업 협상 가능성 잠재.",orig,"[2025-2026 업데이트] 2025년 2월 실적 부진으로 CEO 사임, 4월 1일 테루이 신이치 신임 대표 취임. Rune Factory: Guardians of Azuma 2025년 5월 일·서방 동시 출시.
[정정] CEO 한자: 照井信一→照井慎一. 이익률 2.9→6.5%로 갱신(as-of FY 기준)."
21.0,WFS,WFS,일본,개발/운영,서브,X,,,,285.0,6.4,,시모다 쇼타,Y,"어나더에덴(Another Eden), 헤븐번즈레드(Heaven Burns Red, 2022 일본/2024 글로벌)",GREE Holdings 100% 자회사. 헤븐번즈레드·어나더에덴 등 스토리 중심 고품질 모바일 RPG 특화. 2025년 1월 포케라보 흡수합병으로 규모 확대.,"Jun Maeda(Key)와 협업 실적, 장편 스토리 RPG 개발력, 글로벌 영어판 진출(2024)","GREE 그룹 의존, 신작 파이프라인 한정, 수익 규모 상대적 소규모",GREE Holdings 100%,GREE홀딩스 100% 완전자회사이자 GREE 게임사업의 수익 핵심. 매출 280억엔 규모로 그룹에서 쉽게 분리 불가. 스토리RPG 공동개발 파트너십은 검토 가능.,orig,[2025-2026 업데이트] 2024년 11월 헤븐번즈레드 영어 글로벌판 출시(Yostar 통해). 2025년 1월 포케라보 WFS 산하로 흡수합병.
22.0,코로프라,コロプラ,일본,개발/운영,서브,T,인수,,581.0,260.0,3.9,,宮本貴志,Y,白猫プロジェクト NEW WORLD'S、Brilliantcrypto（P2Eブロックチェーンゲーム）,白猫プロジェクトを主力とするスマホゲーム会社。2024年9月期に既存タイトル売上逓減で営業赤字転落。ブロックチェーンゲーム「Brilliantcrypto」に次の柱として注力中。,白猫プロジェクトの安定ユーザー基盤。BrilliantcryptoによるWeb3ゲーム市場への先行参入,主力ゲームの売上逓減が深刻（2024年9月期営業赤字転落）。Brilliantcryptoの収益化は依然不安定,宮本貴志社長が主要株主。タイミー株売却益で一時的に財務改善,창업자 바바 씨 40%이상 지분 보유이나 근년 업적 불안정으로 강력한 파트너 필요 가능성. 시총 562억엔으로 합리적 규모. 창업자 컨빈싱이 협상의 열쇠.,orig,"[2025-2026 업데이트] 2024年9月期に12億円の営業赤字転落。2025年Q3でタイミー株売却効果により営業黒字回復。Brilliantcryptoが2025年6月に1周年を迎え新採掘エリアを公開。
[정정] '영업적자' 서술이 남아있다면 제거. 2025.9기 흑자전환 완료로 업데이트."
23.0,아카츠키게임즈,アカツキゲームス,일본,개발/운영,서브,T,소수지분,,438.0,237.0,19.0,503.0,香田哲朗,Y,ドラゴンボールZドッカンバトル（11周年超）、怪獣8号 THE GAME（2025年8月世界同時リリース）,ドラゴンボールZドッカンバトルを主力とするスマホゲーム会社（アカツキ傘下）。2025年8月リリース「怪獣8号 THE GAME」が初月20億円以上の課金売上を達成し3年ぶりに黒字転換。,ドッカンバトルの11周年超えの長期安定運営力。原作連動型の運営ノウハウと新作「怪獣8号」の好スタート,ドッカンバトル単一タイトル依存からの脱却が課題。新作IPゲームの開発コスト先行による短期的業績ブレ,株式会社アカツキ（3932）が親会社,독립성 유지 중이나 소니 9%·코에테크모 8%로 이미 복수 전략 주주. 아카쓰키 100% 자회사이나 적절한 조건이라면 협상 여지. 시총 394억엔으로 합리적 규모.,orig,[2025-2026 업데이트] 2025年8月に怪獣8号 THE GAMEを世界同時リリース。初月課金売上20億円超・海外売上40%と好発進。2025年10〜12月期のゲーム事業が3年ぶりに黒字転換。
24.0,도너츠,DONUTS,일본,개발/운영,서브,T,파트너십,,,181.8,,867.0,니시무라 히로나리,N,"도쿄7thシスターズ(2026년 8월 서비스 종료 예정), D4DJ Groovy Mix, ブラックスター-Theater Starless-, Jobcan(SaaS)",게임·클라우드(Jobcan SaaS)·동영상라이브·헬스케어·퍼블리싱 5개 사업 영위 비상장사. 2025년 3월기 매출 181.8억엔.,"Jobcan SaaS의 안정 수익, 게임-미디어 복합 포트폴리오, 다각화된 리스크 분산","비상장 비공개 재무, 게임 단독 집중도 낮음, 히트작 의존 구조",비공개,"잡카운 SaaS로 안정 수익 확보한 오너기업. 자금 여유로 매도 인센티브 낮으나, 게임사업 단독 분리 협상 또는 전략적 파트너십 조건이라면 가능성 잠재.",orig,[2025-2026 업데이트] 도쿄7thシスターズ 2026년 8월 서비스 종료 발표. 게임·SaaS 투트랙 전략 유지.
25.0,에이밍,Aiming,일본,개발/운영,서브,O,인수,,134.0,158.0,13.1,705.0,시이바 타다시,N,"Lord of Knights, Blade Chronicle, Hunter×Hunter World Hunt",MMORPG 특화 스마트폰 게임사. FY2025 12월기 영업이익 20.98억엔 흑자전환. 애니 IP 배당 수입도 실적 견인.,"MMORPG 개발 특화, 콜로플 15.9%·텐센트 6.3% 전략적 주주 지원","매출 7% 감소 지속, 신규 대형 히트작 부재, 스마트폰 MMORPG 시장 포화","콜로플 15.88%, 텐센트홀딩스 6.254%, 공개주(TSE:3911)",시총 약 100억엔으로 규모 합리적. 코로프라 14% 주주이나 완전 배타적 관계 아님. 온라인게임 개발·운영 사업이 넥슨 코어와 직접 시너지. 친화적 매수 가능성 가장 높음.,orig,[2025-2026 업데이트] FY2025 영업이익 20.98억엔으로 흑자전환 성공. 외주비·외부결제 수수료 절감 및 애니 IP 배당 수입 증가로 수익성 대폭 개선.
26.0,케이브,ケイブ,일본,개발/운영,서브,N,,,47.0,140.0,8.1,118.0,아키타 히데요시,Y,"DoDonPachi(도도파치), Mushihimesama, Death Smiles, Akai Katana, Meteor Arena(2025)",탄막 슈팅 게임 명가. 모바일 게임 중심. FY2025 5월기 매출 139.7억엔. 신작 Meteor Arena 광고비 증가로 단기 이익 감소.,"도도파치·무시히메사마 등 컬트 IP, 충성 팬덤, 스팀 클래식 IP 배포 확대","시가총액 47억엔 소형, 탄막 슈팅 니치 시장, 게임 세그먼트 이익 -48.8% 급감","공개주(TSE:3760), 아키타 히데요시 등 임원",시총 46억엔 소규모. 탄막슈팅이라는 니치 장르 특화로 넥슨 포트폴리오와 시너지 제한적. 데라게 자회사는 별도 관심 대상이나 단독 파악 어려움.,orig,[2025-2026 업데이트] FY2025 신작 Meteor Arena 출시 관련 광고비 증가로 게임 세그먼트 이익 -48.8% 급감. 클래식 탄막 슈팅 IP 스팀 배포 지속 확대.
